date;inflation;production_index;mpr;unemployment;is_january;is_february;is_march;is_april;is_may;is_june;is_july;is_august;is_september;is_obtober;is_november;is_december
2000m1;2.8;55.5;5.02;8.8;1;0;0;0;0;0;0;0;0;0;0;0
2000m2;3.3;53.3;5.25;8.4;0;1;0;0;0;0;0;0;0;0;0;0
2000m3;3.4;60.1;5.37;8.6;0;0;1;0;0;0;0;0;0;0;0;0
2000m4;3.5;57.7;5.50;8.9;0;0;0;1;0;0;0;0;0;0;0;0
2000m5;3.6;57.6;5.50;9.3;0;0;0;0;1;0;0;0;0;0;0;0
2000m6;3.7;55.3;5.50;9.9;0;0;0;0;0;1;0;0;0;0;0;0
2000m7;3.8;54.7;5.50;10.7;0;0;0;0;0;0;1;0;0;0;0;0
2000m8;3.9;55.5;5.43;11.1;0;0;0;0;0;0;0;1;0;0;0;0
2000m9;4.2;53.7;5.00;11.3;0;0;0;0;0;0;0;0;1;0;0;0
2000m10;4.5;58.2;5.00;10.6;0;0;0;0;0;0;0;0;0;1;0;0
2000m11;4.7;59.1;5.00;10.0;0;0;0;0;0;0;0;0;0;0;1;0
2000m12;4.5;61.6;5.00;8.9;0;0;0;0;0;0;0;0;0;0;0;1
2001m1;4.7;57.1;4.90;9.0;1;0;0;0;0;0;0;0;0;0;0;0
2001m2;3.8;55.3;4.68;9.0;0;1;0;0;0;0;0;0;0;0;0;0
2001m3;3.5;62.7;4.05;9.5;0;0;1;0;0;0;0;0;0;0;0;0
2001m4;3.5;59.8;3.84;9.7;0;0;0;1;0;0;0;0;0;0;0;0
2001m5;3.7;59.8;3.75;10.3;0;0;0;0;1;0;0;0;0;0;0;0
2001m6;3.6;58.5;3.60;10.4;0;0;0;0;0;1;0;0;0;0;0;0
2001m7;3.2;56.3;3.50;10.5;0;0;0;0;0;0;1;0;0;0;0;0
2001m8;3.8;57.1;5.68;10.5;0;0;0;0;0;0;0;1;0;0;0;0
2001m9;3.9;55.3;6.50;10.9;0;0;0;0;0;0;0;0;1;0;0;0
2001m10;3.4;59.9;6.50;10.4;0;0;0;0;0;0;0;0;0;1;0;0
2001m11;3.1;60.7;6.50;9.6;0;0;0;0;0;0;0;0;0;0;1;0
2001m12;2.6;62.5;6.50;8.6;0;0;0;0;0;0;0;0;0;0;0;1
2002m1;2.2;58.8;6.16;8.8;1;0;0;0;0;0;0;0;0;0;0;0
2002m2;2.5;55.8;5.83;9.1;0;1;0;0;0;0;0;0;0;0;0;0
2002m3;2.6;63.2;5.05;9.6;0;0;1;0;0;0;0;0;0;0;0;0
2002m4;2.5;61.7;4.75;9.6;0;0;0;1;0;0;0;0;0;0;0;0
2002m5;2.1;61.1;4.23;9.9;0;0;0;0;1;0;0;0;0;0;0;0
2002m6;2.0;59.9;4.00;10.3;0;0;0;0;0;1;0;0;0;0;0;0
2002m7;2.6;58.4;3.54;10.3;0;0;0;0;0;0;1;0;0;0;0;0
2002m8;2.2;59.2;3.07;10.5;0;0;0;0;0;0;0;1;0;0;0;0
2002m9;2.3;57.9;3.00;10.6;0;0;0;0;0;0;0;0;1;0;0;0
2002m10;3.0;62.4;3.00;10.5;0;0;0;0;0;0;0;0;0;1;0;0
2002m11;3.0;63.1;3.00;9.7;0;0;0;0;0;0;0;0;0;0;1;0
2002m12;2.8;65.5;3.00;8.7;0;0;0;0;0;0;0;0;0;0;0;1
2003m1;3.0;61.2;2.82;8.5;1;0;0;0;0;0;0;0;0;0;0;0
2003m2;3.8;58.7;2.75;8.8;0;1;0;0;0;0;0;0;0;0;0;0
2003m3;4.5;66.1;2.75;9.2;0;0;1;0;0;0;0;0;0;0;0;0
2003m4;4.0;64.1;2.75;9.6;0;0;0;1;0;0;0;0;0;0;0;0
2003m5;3.5;63.9;2.75;9.8;0;0;0;0;1;0;0;0;0;0;0;0
2003m6;3.6;62.5;2.75;10.1;0;0;0;0;0;1;0;0;0;0;0;0
2003m7;3.1;61.0;2.75;10.1;0;0;0;0;0;0;1;0;0;0;0;0
2003m8;2.9;61.4;2.75;10.4;0;0;0;0;0;0;0;1;0;0;0;0
2003m9;2.2;60.2;2.75;10.4;0;0;0;0;0;0;0;0;1;0;0;0
2003m10;1.2;64.7;2.75;9.9;0;0;0;0;0;0;0;0;0;1;0;0
2003m11;1.0;65.2;2.75;9.1;0;0;0;0;0;0;0;0;0;0;1;0
2003m12;1.1;67.8;2.45;8.5;0;0;0;0;0;0;0;0;0;0;0;1
2004m1;0.8;63.7;1.87;8.4;1;0;0;0;0;0;0;0;0;0;0;0
2004m2;0.0;61.3;1.75;8.4;0;1;0;0;0;0;0;0;0;0;0;0
2004m3;-0.7;70.1;1.75;9.2;0;0;1;0;0;0;0;0;0;0;0;0
2004m4;-0.3;68.0;1.75;9.9;0;0;0;1;0;0;0;0;0;0;0;0
2004m5;0.6;67.9;1.75;10.7;0;0;0;0;1;0;0;0;0;0;0;0
2004m6;1.1;66.5;1.75;10.9;0;0;0;0;0;1;0;0;0;0;0;0
2004m7;1.4;65.7;1.75;11.0;0;0;0;0;0;0;1;0;0;0;0;0
2004m8;1.6;66.7;1.75;11.2;0;0;0;0;0;0;0;1;0;0;0;0
2004m9;1.5;65.3;1.94;11.1;0;0;0;0;0;0;0;0;1;0;0;0
2004m10;1.9;70.6;2.00;10.8;0;0;0;0;0;0;0;0;0;1;0;0
2004m11;2.5;71.3;2.15;9.7;0;0;0;0;0;0;0;0;0;0;1;0
2004m12;2.4;74.2;2.25;8.9;0;0;0;0;0;0;0;0;0;0;0;1
2005m1;2.3;68.4;2.42;8.6;1;0;0;0;0;0;0;0;0;0;0;0
2005m2;2.2;65.2;2.65;8.8;0;1;0;0;0;0;0;0;0;0;0;0
2005m3;2.4;73.9;2.75;9.1;0;0;1;0;0;0;0;0;0;0;0;0
2005m4;2.9;72.2;2.94;9.4;0;0;0;1;0;0;0;0;0;0;0;0
