date;inflation
1928m3;0.00
1928m4;0.00
1928m5;0.00
1928m6;0.00
1928m7;0.00
1928m8;0.00
1928m9;0.00
1928m10;0.00
1928m11;0.00
1928m12;0.00
1929m1;0.00
1929m2;0.00
1929m3;4.00
1929m4;2.00
1929m5;0.00
1929m6;1.80
1929m7;1.80
1929m8;3.70
1929m9;0.00
1929m10;1.80
1929m11;3.70
1929m12;7.40
1930m1;1.90
1930m2;0.00
1930m3;0.00
1930m4;1.90
1930m5;1.90
1930m6;0.00
1930m7;0.00
1930m8;-1.80
1930m9;-5.20
1930m10;0.00
1930m11;-1.80
1930m12;-5.20
1931m1;0.00
1931m2;-1.90
1931m3;0.00
1931m4;-3.80
1931m5;-1.90
1931m6;-1.80
1931m7;0.00
1931m8;0.00
1931m9;0.00
1931m10;-3.60
1931m11;-3.60
1931m12;0.00
1932m1;-7.50
1932m2;-3.90
1932m3;-1.90
1932m4;2.00
1932m5;1.90
1932m6;1.80
1932m7;0.00
1932m8;5.50
1932m9;18.20
1932m10;22.20
1932m11;24.10
1932m12;23.60
1933m1;38.80
1933m2;38.80
1933m3;33.30
1933m4;32.70
1933m5;31.50
1933m6;30.90
1933m7;30.90
1933m8;25.90
1933m9;13.90
1933m10;10.60
1933m11;6.00
1933m12;4.40
1934m1;1.50
1934m2;0.00
1934m3;1.50
1934m4;1.40
1934m5;0.00
1934m6;-1.40
1934m7;0.00
1934m8;-2.70
1934m9;-1.40
1934m10;-2.70
1934m11;2.80
1934m12;4.20
1935m1;7.20
1935m2;4.40
1935m3;2.90
1935m4;2.90
1935m5;1.40
1935m6;1.40
1935m7;1.40
1935m8;1.40
1935m9;0.00
1935m10;2.80
1935m11;0.00
1935m12;-1.40
1936m1;-1.40
1936m2;4.20
1936m3;5.60
1936m4;5.50
1936m5;8.30
1936m6;9.70
1936m7;9.60
1936m8;11.10
1936m9;11.00
1936m10;13.70
1936m11;12.30
1936m12;12.30
1937m1;12.30
1937m2;8.10
1937m3;10.70
1937m4;13.20
1937m5;12.80
1937m6;13.90
1937m7;13.70
1937m8;15.00
1937m9;14.80
1937m10;12.00
1937m11;13.40
1937m12;9.80
1938m1;8.50
1938m2;11.20
1938m3;8.40
1938m4;7.00
1938m5;6.80
1938m6;4.40
1938m7;3.30
1938m8;1.10
1938m9;1.10
1938m10;1.10
1938m11;1.10
1938m12;2.20
1939m1;1.10
1939m2;-1.10
1939m3;0.00
1939m4;1.10
1939m5;0.00
1939m6;0.00
1939m7;-1.10
1939m8;0.00
1939m9;0.00
1939m10;3.20
1939m11;5.30
1939m12;7.60
1940m1;6.70
1940m2;11.40
1940m3;10.00
1940m4;9.70
1940m5;9.60
1940m6;13.80
1940m7;14.00
1940m8;16.10
1940m9;20.20
1940m10;17.50
1940m11;13.10
1940m12;9.10
1941m1;12.50
1941m2;12.30
1941m3;14.10
1941m4;12.70
1941m5;15.50
1941m6;13.10
1941m7;15.10
1941m8;14.80
1941m9;15.00
1941m10;15.80
1941m11;17.00
1941m12;23.10
1942m1;24.10
1942m2;24.60
1942m3;26.50
1942m4;29.50
1942m5;27.70
1942m6;24.80
1942m7;24.60
1942m8;26.60
1942m9;23.10
1942m10;25.50
1942m11;26.50
1942m12;25.50
1943m1;22.40
1943m2;21.80
1943m3;18.20
1943m4;18.10
1943m5;18.40
1943m6;21.20
1943m7;19.10
1943m8;15.30
1943m9;14.40
1943m10;11.10
1943m11;10.50
1943m12;7.80
1944m1;11.60
1944m2;8.40
1944m3;8.90
1944m4;8.50
1944m5;8.90
1944m6;6.00
1944m7;7.70
1944m8;10.50
1944m9;14.80
1944m10;19.00
1944m11;19.60
1944m12;15.00
1945m1;12.60
1945m2;14.40
1945m3;13.60
1945m4;10.50
1945m5;8.20
1945m6;10.40
1945m7;9.80
1945m8;8.00
1945m9;7.10
1945m10;6.00
1945m11;0.50
1945m12;7.70
1946m1;9.70
1946m2;8.20
1946m3;8.10
1946m4;9.50
1946m5;11.30
1946m6;14.00
1946m7;15.80
1946m8;18.50
1946m9;19.10
1946m10;18.90
1946m11;26.40
1946m12;30.10
1947m1;35.00
1947m2;35.30
1947m3;40.30
1947m4;39.80
1947m5;40.70
1947m6;36.50
1947m7;36.70
1947m8;35.50
1947m9;31.00
1947m10;26.40
1947m11;28.10
1947m12;23.10
1948m1;18.00
1948m2;21.50
1948m3;18.60
1948m4;18.30
1948m5;15.40
1948m6;15.90
1948m7;16.80
1948m8;17.30
1948m9;19.60
1948m10;20.30
1948m11;17.10
1948m12;16.80
1949m1;18.60
1949m2;16.80
1949m3;16.00
1949m4;19.60
1949m5;20.60
1949m6;21.20
1949m7;18.50
1949m8;17.70
1949m9;14.50
1949m10;19.10
1949m11;21.10
1949m12;20.60
1950m1;17.80
1950m2;15.60
1950m3;16.00
1950m4;12.00
1950m5;12.10
1950m6;12.60
1950m7;14.50
1950m8;13.60
1950m9;13.70
1950m10;20.60
1950m11;16.80
1950m12;16.50
1951m1;16.30
