date;exchange_rate;tpm;m1;ipsa;imacec
1996m1;408.53;6.7;2,383;1,015.00;46.5
1996m2;410.97;6.7;2,337;1,015.10;45.9
1996m3;411.55;6.7;2,320;973.5;51
1996m4;408.42;7.31;2,328;1,014.10;49
1996m5;406.23;7.5;2,317;993.6;49
1996m6;409.85;7.5;2,347;1,039.80;47.5
1996m7;410.72;7.5;2,272;1,015.60;46.8
1996m8;411.1;7.5;2,278;980.8;47.2
1996m9;411.84;7.5;2,369;1,006.00;45.4
1996m10;415.55;7.5;2,332;1,006.90;49.6
1996m11;420.03;7.5;2,395;945.9;50.1
1996m12;422.41;7.5;2,589;900.6;52.7
1997m1;423.79;7.5;2,710;995.5;49.8
1997m2;416.19;7.31;2,666;1,044.40;48.1
1997m3;414.05;7.25;2,663;1,023.20;53.4
1997m4;417.58;7.1;2,683;1,069.80;51.8
1997m5;418.61;7;2,695;1,169.70;53
1997m6;417.42;6.8;2,773;1,184.80;50.6
1997m7;416.61;6.75;2,720;1,207.60;50.3
1997m8;414.85;6.75;2,685;1,146.00;51
1997m9;414.9;6.53;2,852;1,151.70;49.5
1997m10;414.41;6.5;2,748;1,065.00;53.8
1997m11;424.96;6.5;2,754;1,037.50;54.7
1997m12;438.29;6.5;3,108;1,016.80;57.7
1998m1;453.39;6.88;3,108;907.3;53.4
1998m2;448.53;8.35;2,961;1,001.50;51.7
1998m3;452.53;8.5;2,950;1,062.60;58.1
1998m4;453.74;8.5;2,975;995.4;56.6
1998m5;453.42;8.5;2,961;910.3;56
1998m6;456.19;8.5;3,002;860.9;53.8
1998m7;464.64;8.5;2,767;902.7;53
1998m8;471.26;8.5;2,667;633.2;52.9
1998m9;470.5;10.98;2,701;669;51.1
1998m10;463.6;12.76;2,596;732.9;53.8
1998m11;463.26;9.81;2,616;829.1;53.8
1998m12;472.39;8.33;2,851;786.7;56.5
1999m1;475.68;7.72;2,920;810.5;52.2
1999m2;493.45;7.25;2,945;859.6;50.3
1999m3;492.48;7.22;2,904;931.7;56.5
1999m4;482.33;6.57;2,882;939.8;53.9
1999m5;485.04;6.1;2,932;897.6;53.9
1999m6;502.17;5.54;2,990;1,006.10;52.8
1999m7;516.74;5;2,910;1,014.00;51.6
1999m8;513.03;5;2,848;1,008.30;52.4
1999m9;524.55;5;3,046;984.2;51.5
1999m10;537.97;5;3,017;987.7;55.8
1999m11;543.71;5;3,084;1,058.40;57.2
1999m12;538.22;5;3,426;1,125.30;59.7
2000m1;520.45;5.02;3,436;1,151.40;55.5
2000m2;512.85;5.25;3,357;1,106.20;53.3
2000m3;504.38;5.37;3,209;1,129.80;60.1
2000m4;508.1;5.5;3,172;1,075.00;57.7
2000m5;521.66;5.5;3,133;1,124.20;57.6
2000m6;529.74;5.5;3,156;1,108.70;55.3
2000m7;542.75;5.5;3,105;1,074.80;54.7
2000m8;550.99;5.43;3,105;1,123.30;55.5
2000m9;565.9;5;3,198;1,109.80;53.7
2000m10;567.84;5;3,143;1,060.80;58.2
2000m11;574.6;5;3,177;1,086.60;59.1
2000m12;574.63;5;3,518;1,084.40;61.6
2001m1;571.12;4.9;3,510;1,138.40;57.1
2001m2;563.13;4.68;3,471;1,096.20;55.3
2001m3;587.79;4.05;3,701;1,062.40;62.7
2001m4;598.63;3.84;3,704;1,105.70;59.8
2001m5;604.48;3.75;3,699;1,208.30;59.8
2001m6;616.07;3.59;3,720;1,169.20;58.5
2001m7;656.46;3.5;3,698;1,201.20;56.3
2001m8;673.7;6.5;3,595;1,239.30;57.1
2001m9;681.24;6.5;3,779;1,071.30;55.3
2001m10;708.1;6.5;3,737;1,121.90;59.9
2001m11;689.4;6.5;3,659;1,192.10;60.7
2001m12;669.14;6.5;4,010;1,183.10;62.5
2002m1;667.28;6.16;4,140;1,153.00;58.8
2002m2;678.84;5.83;4,061;1,144.40;55.8
2002m3;663.26;5.05;4,045;1,163.60;63.2
2002m4;650.82;4.75;4,038;1,137.80;61.7
2002m5;653.91;4.23;4,116;1,099.70;61.1
2002m6;673.77;4;4,162;1,032.00;59.9
2002m7;696.33;3.54;4,114;1,039.60;58.4
2002m8;702.3;3.07;4,196;1,022.40;59.2
2002m9;726.98;3;4,285;927.4;57.9
2002m10;742.32;3;4,284;958.5;62.4
2002m11;709.48;3;4,461;960.3;63.1
2002m12;701.95;3;4,670;1,000.00;65.5
2003m1;722.48;2.82;4,887;1,002.00;61.2
2003m2;745.21;2.75;4,863;1,014.90;58.7
2003m3;743.28;2.75;5,245;1,009.10;66.1
2003m4;718.25;2.75;5,105;1,164.00;64.1
2003m5;703.58;2.75;5,124;1,231.00;63.9
2003m6;709.18;2.75;5,044;1,228.10;62.5
2003m7;701.14;2.75;4,857;1,321.40;61
2003m8;703.77;2.75;4,810;1,369.60;61.4
2003m9;675.44;2.75;4,988;1,430.50;60.2
2003m10;646.07;2.75;4,920;1,516.00;64.7
2003m11;625.47;2.75;5,009;1,458.30;65.2
2003m12;602.9;2.45;5,492;1,484.80;67.8
2004m1;573.64;1.87;5,654;1,408.90;63.7
2004m2;584.31;1.75;5,591;1,543.10;61.3
2004m3;603.91;1.75;5,952;1,458.90;70.1
2004m4;608.19;1.75;5,716;1,430.60;68
2004m5;635.76;1.75;5,981;1,428.80;67.9
2004m6;643.5;1.75;6,088;1,483.00;66.5
2004m7;632.39;1.75;6,074;1,520.90;65.7
2004m8;635.93;1.75;6,085;1,631.40;66.7
2004m9;616.55;1.94;6,303;1,707.00;65.3
2004m10;607.28;2;6,422;1,768.20;70.6
2004m11;596.72;2.15;6,447;1,790.50;71.3
2004m12;576.17;2.25;6,815;1,796.50;74.2
2005m1;574.12;2.42;6,980;1,809.90;68.4
2005m2;573.58;2.65;6,869;1,895.20;65.2
2005m3;586.48;2.75;6,830;1,961.70;73.9
2005m4;580.46;2.94;6,898;1,957.00;72.2
2005m5;578.31;3.14;7,018;1,968.80;71.4
2005m6;585.47;3.25;6,912;2,056.80;70.6
2005m7;575.77;3.4;6,869;2,175.10;68.4
2005m8;546.61;3.65;6,769;2,086.30;70.8
2005m9;536.7;3.93;6,839;2,152.80;68.8
2005m10;535.5;4.18;6,857;2,072.60;73.4
2005m11;529.88;4.42;6,939;2,027.60;75.4
2005m12;514.33;4.5;7,579;1,964.50;79.4
2006m1;524.48;4.5;7,578;2,118.50;72.4
2006m2;525.7;4.66;7,548;2,166.80;70
2006m3;528.77;4.75;7,540;2,182.00;77.9
2006m4;517.33;4.88;7,637;2,201.60;76.1
2006m5;520.79;5;7,696;2,156.50;76.8
2006m6;542.46;5;7,822;2,126.00;75.4
2006m7;540.62;5.14;7,690;2,131.60;73
2006m8;538.53;5.25;7,658;2,206.40;74.2
2006m9;538.65;5.25;7,925;2,280.50;73.4
2006m10;530.95;5.25;7,740;2,380.30;79.1
2006m11;527.44;5.25;7,867;2,559.70;79.7
2006m12;527.58;5.25;8,580;2,693.40;84.1
