n_lags,hidden_units,epochs,learning_rate,mse
12,50,200,0.001,0.38315349840050533
12,50,200,0.002,0.4225666989475153
12,50,200,0.003,0.4263350391491379
12,50,200,0.004,0.4237159856626415
12,50,200,0.005,0.4354475714124497
12,50,200,0.006,0.42936097408840623
12,50,200,0.007,0.39828751935667794
12,50,200,0.008,0.40508289075030357
12,50,200,0.009,0.3885031498494066
12,50,200,0.01,0.39828864461281693
12,50,300,0.001,0.357698026877235
12,50,300,0.002,0.4288031182101772
12,50,300,0.003,0.41962991538544936
12,50,300,0.004,0.41000971066475306
12,50,300,0.005,0.4343122340502585
12,50,300,0.006,0.43853027619581547
12,50,300,0.007,0.4131446244248866
12,50,300,0.008,0.4971589881773549
12,50,300,0.009,0.44053162157858766
12,50,300,0.01,0.3949965110117278
12,50,400,0.001,0.4705965362540708
12,50,400,0.002,0.2171923620586677
12,50,400,0.003,0.35085212637599744
12,50,400,0.004,0.4273607488069683
12,50,400,0.005,0.44016786071116565
12,50,400,0.006,0.42569144294742
12,50,400,0.007,0.42747412569306353
12,50,400,0.008,0.4263241363323447
12,50,400,0.009,0.4349763226724175
12,50,400,0.01,0.4029420203558525
12,50,500,0.001,0.47362299437544364
12,50,500,0.002,0.30301887046122183
12,50,500,0.003,0.42814189904461847
12,50,500,0.004,0.5348610581978019
12,50,500,0.005,0.44450630310527134
12,50,500,0.006,0.35595275852241054
12,50,500,0.007,0.43746173198104726
12,50,500,0.008,0.38448227456076767
12,50,500,0.009,0.4350264755800811
12,50,500,0.01,0.4126617998604895
12,60,200,0.001,0.3980564075393805
12,60,200,0.002,0.4270896110332341
12,60,200,0.003,0.43707839191445685
12,60,200,0.004,0.4006375531146603
12,60,200,0.005,0.5240863446521198
12,60,200,0.006,0.433578493049262
12,60,200,0.007,0.4449086961814195
12,60,200,0.008,0.5361752854846086
12,60,200,0.009,0.6550825559030179
12,60,200,0.01,0.38351713706878554
12,60,300,0.001,0.24131263880101106
12,60,300,0.002,0.3937605703264189
12,60,300,0.003,0.2691621463322847
12,60,300,0.004,0.4321394759704324
12,60,300,0.005,0.4214800022830271
12,60,300,0.006,0.43778887574157865
12,60,300,0.007,0.39965790656889233
12,60,300,0.008,0.39065307747337935
12,60,300,0.009,0.3843510975110086
12,60,300,0.01,0.39565732742250526
12,60,400,0.001,0.3786907974438112
12,60,400,0.002,0.35842144196438985
12,60,400,0.003,0.4211026180277296
12,60,400,0.004,0.47056750378749745
12,60,400,0.005,0.4368534377100425
12,60,400,0.006,0.41201887288896843
12,60,400,0.007,0.42051002624105843
12,60,400,0.008,0.38951624615581915
12,60,400,0.009,0.3896256811927464
12,60,400,0.01,0.38030085882151704
