date,inflation_11_months,inflation_23_months
2008m1,3,
2008m2,2.7,
2008m3,2.8,
2008m4,2.9000001,
2008m5,3,
2008m6,3,
2008m7,3.2,
2008m8,3.5,
2008m9,3.5,
2008m10,3.5,
2008m11,3.5,
2008m12,3.5999999,
2009m1,4,3
2009m2,3.7,3
2009m3,4.1999998,3
2009m4,4,3
2009m5,4.0999999,3
2009m6,4.5,3
2009m7,5.5,3
2009m8,5.5,3
2009m9,6,3
2009m10,5.3000002,3
2009m11,4.5999999,3
2009m12,3.5999999,3
2010m1,3.5,3.3
2010m2,3,3
2010m3,2.9000001,3.3
2010m4,2.5,3.0999999
2010m5,2.5,3.3
2010m6,2.2,3.5
2010m7,2.0999999,3.8
2010m8,2,3.8
2010m9,2.0999999,3.9000001
2010m10,2.3,3.5
2010m11,2.3,3.4000001
2010m12,2.3,3
2011m1,2.5,3
2011m2,2.5999999,3
2011m3,3.2,3
2011m4,3.4000001,3
2011m5,3.2,3
2011m6,3.4000001,3
2011m7,3.25,3
2011m8,3.45,3
2011m9,3.3,3
2011m10,3.0999999,3
2011m11,3.0999999,3
2011m12,3.2,3
2012m1,3.55,3
2012m2,3.8,3
2012m3,4.0500002,3
2012m4,4,3
2012m5,3.95,3
2012m6,3.7,3
2012m7,3.5,3
2012m8,3.2,3
2012m9,3,3
2012m10,3,3
2012m11,3,3
2012m12,2.9000001,3
2013m1,3,3.2
2013m2,3,3.2
2013m3,3.2,3.2
2013m4,3.3,3.2
2013m5,3.3,3.0999999
2013m6,3,3.0250001
2013m7,2.9000001,3
2013m8,2.9000001,3
2013m9,3,3
2013m10,3,3
2013m11,3,3
2013m12,3,3
2014m1,3,3
2014m2,3,3
2014m3,3,3
2014m4,3,3
2014m5,2.9000001,3
2014m6,2.8,3
2014m7,2.8,3
2014m8,2.8,3
2014m9,2.9000001,3
2014m10,2.8,3
2014m11,2.8,3
2014m12,2.8,3
2015m1,2.95,3
2015m2,3,3
2015m3,3,3
2015m4,3,3
2015m5,3.0999999,3
2015m6,3,3
2015m7,3,3
2015m8,3,3
2015m9,3.2,3
2015m10,3.3,3
2015m11,3.0999999,3
2015m12,2.7,3
2016m1,2.7,3
2016m2,3,3
2016m3,3,3
2016m4,3.2,3
2016m5,3.0999999,3
2016m6,3,3
2016m7,3.2,3
2016m8,3.5,3
2016m9,3.7,3
2016m10,3.5,3
2016m11,3.5,3
2016m12,3.5,3
2017m1,3.5,3
2017m2,3.4000001,3
2017m3,3.3,3
2017m4,3.3,3
2017m5,3.2,3
2017m6,3.2,3
2017m7,3.0999999,3
2017m8,3,3
2017m9,3,3
2017m10,3,3
2017m11,3,3
2017m12,2.9000001,3
2018m1,2.9000001,3
2018m2,2.9000001,3
2018m3,3,3
2018m4,2.9000001,3
2018m5,2.9000001,3
2018m6,2.9000001,3
2018m7,2.7,3
2018m8,2.7,3
2018m9,2.7,3
2018m10,2.5,3
2018m11,2.5,3
2018m12,2.7,3
2019m1,2.5999999,3
2019m2,2.5999999,3
2019m3,2.5999999,3
2019m4,2.7,3
2019m5,2.8,3
2019m6,2.9000001,3
2019m7,3,3
2019m8,3,3
2019m9,3,3
2019m10,3,3
2019m11,3,3
2019m12,2.9000001,3
2020m1,2.8,3
2020m2,2.8,3
2020m3,2.8,3
2020m4,2.8,3
2020m5,2.9000001,3
2020m6,2.9000001,3
2020m7,2.8,3
2020m8,2.8,3
2020m9,2.8,3
2020m10,2.9000001,3
2020m11,2.7,3
2020m12,3.2,3
2021m1,3.2,3
2021m2,3,3
2021m3,3.2,3
2021m4,2.9000001,3
2021m5,2.5,3
2021m6,2.5,3
