n_lags,hidden_units,epochs,learning_rate,mse
12,50,200,0.001,0.9435057753815527
12,50,200,0.002,1.1412381834738126
12,50,200,0.003,0.4784400212540998
12,50,200,0.004,0.43477900696264554
12,50,200,0.005,0.2674080096585156
12,50,200,0.006,0.33636202877971194
12,50,200,0.007,0.32780664308072266
12,50,200,0.008,0.7016437118840732
12,50,200,0.009,0.4105920362335588
12,50,200,0.01,1.95675637172368
12,50,300,0.001,0.8786860559039913
12,50,300,0.002,2.026781227072924
12,50,300,0.003,0.3428729949559202
12,50,300,0.004,0.32708442623566486
12,50,300,0.005,0.37833899245674174
12,50,300,0.006,0.19406975999467835
12,50,300,0.007,0.5956486602269425
12,50,300,0.008,1.1033119356636494
12,50,300,0.009,0.37859576599404204
12,50,300,0.01,0.24815606377718719
12,50,400,0.001,1.1284910191076958
12,50,400,0.002,3.4204070617990565
12,50,400,0.003,1.008955454015469
12,50,400,0.004,1.244105577589262
12,50,400,0.005,0.4021907372945652
12,50,400,0.006,0.2750938825706953
12,50,400,0.007,0.26520187406088747
12,50,400,0.008,0.22987270957605538
12,50,400,0.009,0.2023188154153847
12,50,400,0.01,0.41031954443709234
12,50,500,0.001,1.1524579735006966
12,50,500,0.002,2.624647185807181
12,50,500,0.003,0.3928318442321195
12,50,500,0.004,0.29407592146461065
12,50,500,0.005,0.31875499293448845
12,50,500,0.006,0.22444602718037918
12,50,500,0.007,1.1261071852496636
12,50,500,0.008,0.34322910909911974
12,50,500,0.009,0.440014466556375
12,50,500,0.01,0.4212910001576153
12,60,200,0.001,1.6712276553180154
12,60,200,0.002,1.5177144035324357
12,60,200,0.003,1.0866566832667435
12,60,200,0.004,0.32825958501342994
12,60,200,0.005,0.5888876872571001
12,60,200,0.006,0.2351357468347207
12,60,200,0.007,2.506579802876713
12,60,200,0.008,0.2542375552339174
12,60,200,0.009,0.22550075162675434
12,60,200,0.01,0.2434591872181336
12,60,300,0.001,1.3435906662025578
12,60,300,0.002,0.3762051580944432
12,60,300,0.003,0.37234445173401043
12,60,300,0.004,0.32387383052836616
12,60,300,0.005,0.3955791497078559
12,60,300,0.006,0.2805869847543806
12,60,300,0.007,0.5179493092344931
12,60,300,0.008,0.27622631845858464
12,60,300,0.009,0.23294902412565066
12,60,300,0.01,0.6077600286761058
12,60,400,0.001,1.0796521639936731
12,60,400,0.002,0.39603635792919506
12,60,400,0.003,0.26051889231889364
12,60,400,0.004,0.43883591005159306
12,60,400,0.005,0.28781490990460495
12,60,400,0.006,0.7204315152793208
12,60,400,0.007,0.30745731793165343
12,60,400,0.008,0.3829268676700231
12,60,400,0.009,0.2779232848282163
12,60,400,0.01,0.8990236839206963
12,60,500,0.001,3.0131329237133038
12,60,500,0.002,3.046446120898722
12,60,500,0.003,0.6611803478357378
12,60,500,0.004,0.28932997081904577
12,60,500,0.005,0.5037529136587907
12,60,500,0.006,0.33303670278802744
12,60,500,0.007,1.0027979214389364
12,60,500,0.008,0.7727609509702207
12,60,500,0.009,0.5675603701226232
12,60,500,0.01,0.23476056465463926
12,70,200,0.001,2.0961774153303505
12,70,200,0.002,0.4313720521754847
12,70,200,0.003,1.98099982787475
12,70,200,0.004,0.6956038688696037
12,70,200,0.005,0.4668793658014483
12,70,200,0.006,0.4710829990830552
12,70,200,0.007,0.3910821682916913
12,70,200,0.008,0.4318119237184741
12,70,200,0.009,1.1895267070992677
12,70,200,0.01,0.30125436865070143
12,70,300,0.001,2.979712435233742
12,70,300,0.002,1.2365293116141398
12,70,300,0.003,0.4358254237438087
