n_lags,hidden_units,epochs,learning_rate,mse
12,50,200,0.001,3.3860609795862535
12,50,200,0.002,1.612399256764191
12,50,200,0.003,2.716577862794368
12,50,200,0.004,1.014438506494233
12,50,200,0.005,1.2010749379854673
12,50,200,0.006,1.2390762210791366
12,50,200,0.007,2.11021356189276
12,50,200,0.008,2.513518043926777
12,50,200,0.009,3.8662863280940076
12,50,200,0.01,3.1645504998395926
12,50,300,0.001,1.0745621443236828
12,50,300,0.002,1.4050932860722782
12,50,300,0.003,2.355354543795334
12,50,300,0.004,1.721555177194075
12,50,300,0.005,1.3032808218090692
12,50,300,0.006,2.1865164013664233
12,50,300,0.007,1.3032064979321332
12,50,300,0.008,4.6856648359376365
12,50,300,0.009,1.0442689936613387
12,50,300,0.01,2.889721162012664
12,50,400,0.001,2.085494142497865
12,50,400,0.002,0.9476972635241726
12,50,400,0.003,2.579614088599634
12,50,400,0.004,3.1870955030452115
12,50,400,0.005,2.6444447414637877
12,50,400,0.006,1.0412826511118956
12,50,400,0.007,1.3373568032658865
12,50,400,0.008,1.7669760654173599
12,50,400,0.009,0.8514331996160059
12,50,400,0.01,3.192642147065567
12,50,500,0.001,4.346251522639913
12,50,500,0.002,1.193811092288927
12,50,500,0.003,1.8185127246504353
12,50,500,0.004,1.5267377699995617
12,50,500,0.005,2.383010789764264
12,50,500,0.006,2.3939940000390325
12,50,500,0.007,2.1089732467083824
12,50,500,0.008,1.7179315768995256
12,50,500,0.009,1.516004031916256
12,50,500,0.01,0.5479346896954677
12,60,200,0.001,1.116195272703098
12,60,200,0.002,4.202157488031129
12,60,200,0.003,1.5196578700638101
12,60,200,0.004,2.138208998726222
12,60,200,0.005,1.2014463090409366
12,60,200,0.006,1.8650580342025245
12,60,200,0.007,2.834339989993596
12,60,200,0.008,2.8665295808838254
12,60,200,0.009,1.074714398433911
12,60,200,0.01,1.4225934463250027
12,60,300,0.001,6.95224384194488
12,60,300,0.002,1.3545945029810382
12,60,300,0.003,1.5571612644202704
12,60,300,0.004,3.529390421995346
12,60,300,0.005,2.090360977952112
12,60,300,0.006,2.5477115543164435
12,60,300,0.007,2.9111190166177705
12,60,300,0.008,1.4134525597179777
12,60,300,0.009,1.2965413462898558
12,60,300,0.01,3.907071580493168
12,60,400,0.001,4.997946046543313
12,60,400,0.002,7.011475994231967
12,60,400,0.003,1.3100939963758413
12,60,400,0.004,2.2920251636997677
12,60,400,0.005,2.1328722245008636
